1160.361,39.994130,-0.069308,123.000,21.800,33.0,0.5,7,5
1161.337,39.994145,-0.069304,123.000,27.900,33.0,0.4,9,4
1162.336,39.994145,-0.069305,122.000,33.900,34.0,0.5,9,5
1163.317,39.994162,-0.069299,123.000,18.500,33.0,0.8,9,5
1164.32,39.994186,-0.069274,121.000,13.000,27.0,1.4,9,4
1165.3,39.994213,-0.069254,119.000,23.500,22.0,2.0,9,4
1166.326,39.994217,-0.069252,118.000,26.600,24.0,1.2,9,5
1167.336,39.994204,-0.069251,119.000,44.700,22.0,1.1,9,5
1168.343,39.994192,-0.069258,120.000,50.200,24.0,0.3,9,6
1169.315,39.994194,-0.069237,122.000,55.800,22.0,0.5,9,6
1170.337,39.994187,-0.069223,122.000,68.900,22.0,0.7,9,5
1171.359,39.994174,-0.069221,122.000,88.500,24.0,1.0,8,5
1172.332,39.994184,-0.069213,123.000,96.100,23.0,0.8,8,5
1173.35,39.994196,-0.069204,125.000,88.200,20.0,0.1,7,5
1174.354,39.994203,-0.069202,125.000,85.900,20.0,0.2,7,5
1175.33,39.994202,-0.069208,126.000,135.100,20.0,0.9,7,5
1176.296,39.994192,-0.069209,125.000,141.400,20.0,0.4,7,5
1177.314,39.994179,-0.069201,125.000,146.400,20.0,0.8,6,5
1178.328,39.994162,-0.069201,125.000,155.400,21.0,0.8,7,5
1179.303,39.994160,-0.069200,125.000,175.600,24.0,1.0,9,6
1180.314,39.994142,-0.069202,125.000,187.300,28.0,0.9,9,6
1181.314,39.994125,-0.069213,124.000,195.700,29.0,0.5,9,5
1182.314,39.994116,-0.069220,124.000,204.300,31.0,0.4,9,5
1183.336,39.994102,-0.069224,124.000,207.200,31.0,0.7,9,5
1184.343,39.994100,-0.069230,124.000,215.000,33.0,0.4,10,5
1200.326,39.994168,-0.069143,118.000,40.900,39.0,0.1,7,6
